seed,method,urgent_satisfaction,unmet_units,completed_units,mean_response,late_minutes,violations,solver_seconds,arrived_units,total_units
-1,greedy,1.0,0,14,30.5,73,0,0.021531400001549628,14,14
-1,static,0.4444444444444444,8,6,18.0,15,0,0.06197170000086771,6,14
-1,dynamic,1.0,0,14,30.714285714285715,89,0,0.10409509999590227,14,14
0,greedy,1.0,0,15,38.93333333333333,186,0,0.01597530000799452,15,15
0,static,0.4,9,6,19.666666666666668,19,0,0.033767600001738174,6,15
0,dynamic,1.0,0,15,37.333333333333336,172,0,0.12780459999339655,15,15
1,greedy,1.0,0,17,42.23529411764706,273,0,0.01992559998689103,17,17
1,static,0.3333333333333333,11,6,14.166666666666666,0,0,0.03483760000017355,6,17
1,dynamic,1.0,0,17,40.76470588235294,260,0,0.1440166000102181,17,17
2,greedy,1.0,0,17,44.294117647058826,265,0,0.018334899985347874,17,17
2,static,0.4,11,6,20.0,18,0,0.02386090000072727,6,17
2,dynamic,1.0,0,17,44.1764705882353,263,0,0.12164689999553957,17,17
3,greedy,1.0,0,20,47.1,352,0,0.019467900001473026,20,20
3,static,0.3333333333333333,14,6,15.5,12,0,0.02563170000212267,6,20
3,dynamic,1.0,0,20,45.35,330,0,0.14930979998825933,20,20
4,greedy,1.0,0,15,35.2,141,0,0.017774700001609745,15,15
4,static,0.4,9,6,18.333333333333332,17,0,0.030774099999689497,6,15
4,dynamic,1.0,0,15,34.2,139,0,0.10030619999815826,15,15
5,greedy,1.0,0,16,38.9375,192,0,0.021922099986113608,16,16
5,static,0.4,10,6,20.333333333333332,20,0,0.03551270000025397,6,16
5,dynamic,1.0,0,16,39.1875,198,0,0.14446580000367248,16,16
6,greedy,1.0,0,14,32.0,87,0,0.021142999990843236,14,14
6,static,0.4444444444444444,8,6,16.333333333333332,11,0,0.038618400001723785,6,14
6,dynamic,1.0,0,14,30.785714285714285,88,0,0.11823740000545513,14,14
7,greedy,1.0,0,15,30.266666666666666,70,0,0.019087499986198964,15,15
7,static,0.5,9,6,15.833333333333334,6,0,0.02535400000124355,6,15
7,dynamic,1.0,0,15,30.6,76,0,0.1082744000123057,15,15
8,greedy,1.0,0,17,43.529411764705884,264,0,0.020100199988519307,17,17
8,static,0.45454545454545453,11,6,21.833333333333332,31,0,0.03001600000061444,6,17
8,dynamic,1.0,0,17,43.23529411764706,259,0,0.14192639999600942,17,17
9,greedy,1.0,0,16,39.75,133,0,0.019968200009316206,16,16
9,static,0.4444444444444444,10,6,19.5,14,0,0.03297459999885177,6,16
9,dynamic,1.0,0,16,40.3125,174,0,0.14182149999396643,16,16
10,greedy,1.0,0,16,39.5,161,0,0.022451900003943592,16,16
10,static,0.4444444444444444,10,6,19.333333333333332,20,0,0.03373400000054971,6,16
10,dynamic,1.0,0,16,37.1875,150,0,0.1241063000052236,16,16
11,greedy,1.0,0,14,35.857142857142854,131,0,0.02331699999558623,14,14
11,static,0.4444444444444444,8,6,17.166666666666668,19,0,0.027251700001215795,6,14
11,dynamic,1.0,0,14,34.42857142857143,131,0,0.12403770001037628,14,14
12,greedy,1.0,0,16,32.0625,78,0,0.02081239999824902,16,16
12,static,0.4444444444444444,10,6,17.166666666666668,9,0,0.033351599999150494,6,16
12,dynamic,1.0,0,16,33.875,117,0,0.12151090000770637,16,16
13,greedy,1.0,0,17,41.294117647058826,210,0,0.019911499992304016,17,17
13,static,0.4,11,6,18.333333333333332,20,0,0.03620900000169058,6,17
13,dynamic,1.0,0,17,40.294117647058826,227,0,0.16823789999762084,17,17
14,greedy,1.0,0,16,33.25,73,0,0.02019700001255842,16,16
14,static,0.4444444444444444,10,6,16.5,10,0,0.03566599999976461,6,16
14,dynamic,1.0,0,16,32.75,107,0,0.11270859998694505,16,16
15,greedy,1.0,0,17,44.8235294117647,266,0,0.01908499999626656,17,17
15,static,0.4,11,6,20.0,21,0,0.03634800000145333,6,17
15,dynamic,1.0,0,17,44.294117647058826,271,0,0.15723450000223238,17,17
16,greedy,1.0,0,15,33.333333333333336,116,0,0.02064550000068266,15,15
16,static,0.4444444444444444,9,6,15.333333333333334,8,0,0.03461569999853964,6,15
16,dynamic,1.0,0,15,32.733333333333334,118,0,0.11792920000880258,15,15
17,greedy,1.0,0,15,30.666666666666668,113,0,0.01846790000490728,15,15
17,static,0.3,9,6,15.333333333333334,0,0,0.0353633999984595,6,15
17,dynamic,1.0,0,15,29.533333333333335,103,0,0.11188300000503659,15,15
18,greedy,1.0,0,16,37.0,155,0,0.01941199999419041,16,16
18,static,0.4,10,6,18.0,13,0,0.03468779999820981,6,16
18,dynamic,1.0,0,16,38.5,193,0,0.11762889999590698,16,16
19,greedy,1.0,0,19,44.578947368421055,293,0,0.018228299988550134,19,19
19,static,0.36363636363636365,13,6,18.833333333333332,15,0,0.03902440000092611,6,19
19,dynamic,1.0,0,19,44.526315789473685,314,0,0.17053619999205694,19,19
