seed,method,completed,total_tasks,urgent_satisfaction,unmet_resource_units,mean_start_delay,lateness,committed_travel,violations,solve_seconds,solver_calls,fallback_calls,blocked_road
-1,greedy,12,12,1.0,0,16.916666666666668,0,306,0,0.0066727000012178905,14,14,RD00
-1,static,4,12,0.4,20,30.75,0,119,0,0.012181500002043322,1,0,RD00
-1,dynamic,12,12,1.0,0,33.5,2,297,0,0.22379969999019522,14,0,RD00
-1,dynamic_prediction,12,12,1.0,0,34.166666666666664,2,305,0,0.25125980001030257,14,0,RD00
0,greedy,12,12,1.0,0,18.75,0,324,0,0.004464200006623287,14,14,RD06
0,static,4,12,0.4,20,36.5,0,119,0,0.009190099997795187,1,0,RD06
0,dynamic,11,12,1.0,2,35.666666666666664,3,305,0,0.1844926999983727,14,0,RD06
0,dynamic_prediction,11,12,1.0,2,35.666666666666664,3,312,0,0.27929500000027474,14,0,RD06
1,greedy,12,12,1.0,0,16.583333333333332,0,310,0,0.0044804000062868,14,14,RD14
1,static,4,12,0.4,20,37.5,0,114,0,0.015138000002480112,1,0,RD14
1,dynamic,12,12,1.0,0,33.583333333333336,2,286,0,0.21125730000494514,14,0,RD14
1,dynamic_prediction,12,12,1.0,0,33.5,2,293,0,0.26051620000362163,14,0,RD14
2,greedy,12,12,1.0,0,18.833333333333332,0,369,0,0.003673000006529037,14,14,RD07
2,static,3,12,0.2,23,32.333333333333336,0,92,0,0.009417999994184356,1,0,RD07
2,dynamic,12,12,1.0,0,35.583333333333336,21,360,0,0.2567921000154456,14,0,RD07
2,dynamic_prediction,12,12,1.0,0,35.583333333333336,21,366,0,0.24527699999453034,14,0,RD07
3,greedy,12,12,1.0,0,17.666666666666668,0,326,0,0.003429500007769093,14,14,RD12
3,static,4,12,0.4,20,36.75,0,117,0,0.01455339999665739,1,0,RD12
3,dynamic,12,12,1.0,0,34.916666666666664,2,303,0,0.24041310000029625,14,0,RD12
3,dynamic_prediction,12,12,1.0,0,34.916666666666664,2,313,0,0.26816719999624183,14,0,RD12
4,greedy,12,12,1.0,0,17.166666666666668,0,299,0,0.005078400034108199,14,14,RD07
4,static,3,12,0.2,23,40.333333333333336,0,84,0,0.022122599999420345,1,0,RD07
