seed,method,completed,total_tasks,urgent_satisfaction,unmet_resource_units,mean_start_delay,lateness,committed_travel,violations,solve_seconds,solver_calls,fallback_calls,blocked_road,stability,response_gini_started,started_tasks,plan_changes
-1,greedy,12,12,1.0,0,16.916666666666668,0,306,0,0.010945099980744999,14,14,RD00,20,0.20238095238095238,12,34
-1,static,4,12,0.4,20,30.75,0,119,0,0.026385799996205606,1,0,RD00,20,0.11178861788617886,4,9
-1,dynamic,12,12,1.0,0,35.583333333333336,2,311,0,0.15318769999430515,14,0,RD00,20,0.10870413739266198,12,41
-1,dynamic_prediction,12,12,1.0,0,35.583333333333336,2,319,0,0.16422599999350496,14,0,RD00,20,0.10870413739266198,12,44
-1,stability_0,12,12,1.0,0,35.583333333333336,2,311,0,0.1348913999972865,14,0,RD00,0,0.10870413739266198,12,51
-1,stability_5,12,12,1.0,0,33.916666666666664,2,311,0,0.1405579000202124,14,0,RD00,5,0.13902538902538902,12,41
-1,stability_50,12,12,1.0,0,35.583333333333336,2,311,0,0.13773930000752443,14,0,RD00,50,0.10870413739266198,12,41
-1,stability_100,12,12,1.0,0,35.583333333333336,2,311,0,0.148958700010553,14,0,RD00,100,0.10870413739266198,12,41
0,greedy,12,12,1.0,0,18.75,0,324,0,0.004102099992451258,14,14,RD06,20,0.18259259259259258,12,36
0,static,4,12,0.4,20,36.5,0,119,0,0.007737499996437691,1,0,RD06,20,0.10616438356164383,4,9
0,dynamic,11,12,1.0,2,35.75,3,305,0,0.11683570001332555,14,0,RD06,20,0.1385003885003885,12,35
0,dynamic_prediction,11,12,1.0,2,35.75,3,312,0,0.16264749999390915,14,0,RD06,20,0.1385003885003885,12,38
0,stability_0,12,12,1.0,0,36.5,3,304,0,0.12960129998100456,14,0,RD06,0,0.10464231354642313,12,45
0,stability_5,11,12,1.0,2,35.75,3,305,0,0.11328629999479745,14,0,RD06,5,0.1385003885003885,12,35
0,stability_50,11,12,1.0,2,35.75,3,305,0,0.10686390002229018,14,0,RD06,50,0.1385003885003885,12,35
0,stability_100,11,12,1.0,2,35.75,3,305,0,0.15048969999043038,14,0,RD06,100,0.1385003885003885,12,35
1,greedy,12,12,1.0,0,17.666666666666668,0,299,0,0.0031619000146747567,14,14,RD14,20,0.1831761006289308,12,37
1,static,4,12,0.4,20,37.5,0,114,0,0.006927700000233017,1,0,RD14,20,0.12333333333333334,4,9
1,dynamic,12,12,1.0,0,33.583333333333336,2,286,0,0.11927999999170424,14,0,RD14,20,0.16563275434243177,12,36
1,dynamic_prediction,12,12,1.0,0,33.5,2,293,0,0.14919720001489623,14,0,RD14,20,0.16583747927031509,12,41
1,stability_0,12,12,1.0,0,34.083333333333336,2,286,0,0.1455937999926391,14,0,RD14,0,0.145680521597392,12,47
1,stability_5,12,12,1.0,0,33.583333333333336,2,286,0,0.12767510000412585,14,0,RD14,5,0.16563275434243177,12,36
1,stability_50,12,12,1.0,0,33.583333333333336,2,286,0,0.14194789999601198,14,0,RD14,50,0.16563275434243177,12,36
1,stability_100,12,12,1.0,0,33.583333333333336,2,286,0,0.11955189998116111,14,0,RD14,100,0.16563275434243177,12,36
2,greedy,12,12,1.0,0,18.833333333333332,0,369,0,0.0030092999877524562,14,14,RD07,20,0.20722713864306785,12,40
2,static,3,12,0.2,23,32.333333333333336,0,130,0,0.0064615000010235235,1,0,RD07,20,0.10309278350515463,3,9
2,dynamic,12,12,1.0,0,35.583333333333336,21,410,0,0.12450829999579582,14,0,RD07,20,0.11026541764246682,12,43
2,dynamic_prediction,12,12,1.0,0,35.583333333333336,21,416,0,0.15566890001355205,14,0,RD07,20,0.11026541764246682,12,49
2,stability_0,12,12,1.0,0,34.25,24,466,0,0.08960939999087714,14,0,RD07,0,0.14172749391727493,12,53
2,stability_5,12,12,1.0,0,35.583333333333336,21,410,0,0.12584850002167514,14,0,RD07,5,0.11026541764246682,12,44
2,stability_50,12,12,1.0,0,35.583333333333336,21,410,0,0.12424049999390263,14,0,RD07,50,0.11026541764246682,12,43
2,stability_100,12,12,1.0,0,35.583333333333336,21,410,0,0.12351549999584677,14,0,RD07,100,0.11026541764246682,12,43
3,greedy,12,12,1.0,0,18.166666666666668,0,314,0,0.0032781999980215915,14,14,RD12,20,0.17966360856269112,12,36
3,static,4,12,0.4,20,36.75,0,117,0,0.01099199999589473,1,0,RD12,20,0.11054421768707483,4,9
3,dynamic,12,12,1.0,0,34.916666666666664,2,303,0,0.09667769999214215,14,0,RD12,20,0.14777247414478917,12,38
3,dynamic_prediction,12,12,1.0,0,34.916666666666664,2,313,0,0.1627816999971401,14,0,RD12,20,0.14777247414478917,12,41
3,stability_0,12,12,1.0,0,34.916666666666664,2,303,0,0.09803259999898728,14,0,RD12,0,0.14777247414478917,12,48
3,stability_5,12,12,1.0,0,34.916666666666664,2,303,0,0.1011519000021508,14,0,RD12,5,0.14777247414478917,12,38
3,stability_50,12,12,1.0,0,34.916666666666664,2,303,0,0.09970719999546418,14,0,RD12,50,0.14777247414478917,12,38
3,stability_100,12,12,1.0,0,34.916666666666664,2,303,0,0.09412650001468137,14,0,RD12,100,0.14777247414478917,12,38
4,greedy,12,12,1.0,0,17.916666666666668,0,298,0,0.0030624999999417923,14,14,RD07,20,0.2003875968992248,12,36
4,static,3,12,0.2,23,40.333333333333336,0,121,0,0.008937599995988421,1,0,RD07,20,0.09366391184573003,3,9
4,dynamic,12,12,1.0,0,35.916666666666664,22,346,0,0.12438100000144914,14,0,RD07,20,0.09068058778035576,12,37
4,dynamic_prediction,12,12,1.0,0,36.083333333333336,22,353,0,0.16043409999838332,14,0,RD07,20,0.08641262509622787,12,39
4,stability_0,12,12,1.0,0,34.083333333333336,13,403,0,0.11909400001604808,14,0,RD07,0,0.13590057049714752,12,56
4,stability_5,12,12,1.0,0,35.916666666666664,13,403,0,0.11550679999345448,14,0,RD07,5,0.12509667440061872,12,43
4,stability_50,12,12,1.0,0,35.916666666666664,22,346,0,0.12223770000127843,14,0,RD07,50,0.09068058778035576,12,37
4,stability_100,12,12,1.0,0,35.916666666666664,22,346,0,0.12640779999492224,14,0,RD07,100,0.09068058778035576,12,37
5,greedy,12,12,1.0,0,17.75,0,325,0,0.0027103999964310788,14,14,RD06,20,0.1960093896713615,12,33
5,static,2,12,0.0,26,43.0,0,124,0,0.006664200001978315,1,0,RD06,20,0.03488372093023256,2,9
5,dynamic,12,12,1.0,0,36.666666666666664,13,386,0,0.1517517999964184,14,0,RD06,20,0.1159090909090909,12,44
5,dynamic_prediction,12,12,1.0,0,36.666666666666664,13,396,0,0.1645110999888857,14,0,RD06,20,0.1159090909090909,12,50
5,stability_0,12,12,1.0,0,37.333333333333336,13,386,0,0.17015420000097947,14,0,RD06,0,0.09151785714285714,12,55
5,stability_5,11,12,1.0,2,37.25,13,386,0,0.15772519999882206,14,0,RD06,5,0.12061894108873975,12,45
5,stability_50,12,12,1.0,0,36.666666666666664,13,386,0,0.14177940001536626,14,0,RD06,50,0.1159090909090909,12,43
5,stability_100,12,12,1.0,0,36.666666666666664,13,386,0,0.1404610999961733,14,0,RD06,100,0.1159090909090909,12,43
6,greedy,12,12,1.0,0,16.416666666666668,0,308,0,0.0029299000088940375,14,14,RD03,20,0.25084602368866327,12,35
6,static,4,12,0.4,20,31.0,0,109,0,0.00687360000301851,1,0,RD03,20,0.10483870967741936,4,9
6,dynamic,12,12,1.0,0,31.333333333333332,1,291,0,0.08940939999592956,14,0,RD03,20,0.15469858156028368,12,39
6,dynamic_prediction,12,12,1.0,0,31.333333333333332,1,302,0,0.11986150001030182,14,0,RD03,20,0.15469858156028368,12,43
6,stability_0,12,12,1.0,0,33.583333333333336,5,288,0,0.11696340000344208,14,0,RD03,0,0.12675765095119934,12,47
6,stability_5,12,12,1.0,0,32.75,5,288,0,0.10968470000807429,14,0,RD03,5,0.11556403731976252,12,41
6,stability_50,12,12,1.0,0,31.333333333333332,1,291,0,0.08732020000752527,14,0,RD03,50,0.15469858156028368,12,39
6,stability_100,12,12,1.0,0,31.5,1,291,0,0.09284900001512142,14,0,RD03,100,0.1574074074074074,12,38
7,greedy,12,12,1.0,0,15.916666666666666,0,291,0,0.0029412999938358553,14,14,RD05,20,0.212478184991274,12,34
7,static,4,12,0.4,20,37.0,0,107,0,0.009887100000923965,1,0,RD05,20,0.11486486486486487,4,9
7,dynamic,12,12,1.0,0,36.916666666666664,2,268,0,0.1470727999912924,14,0,RD05,20,0.09800601956358164,12,43
7,dynamic_prediction,12,12,1.0,0,36.666666666666664,2,274,0,0.17169409998314222,14,0,RD05,20,0.09583333333333334,12,45
7,stability_0,12,12,1.0,0,36.916666666666664,2,268,0,0.16414350001286948,14,0,RD05,0,0.09800601956358164,12,59
7,stability_5,12,12,1.0,0,36.666666666666664,2,268,0,0.15168600000470178,14,0,RD05,5,0.09583333333333334,12,43
7,stability_50,12,12,1.0,0,36.666666666666664,2,268,0,0.14145450000069104,14,0,RD05,50,0.09583333333333334,12,43
7,stability_100,12,12,1.0,0,36.916666666666664,2,268,0,0.1480877999929362,14,0,RD05,100,0.09800601956358164,12,43
8,greedy,12,12,1.0,0,17.75,0,333,0,0.0027982000028714538,14,14,RD10,20,0.19522691705790296,12,38
8,static,3,12,0.2,23,38.0,0,106,0,0.007241899998916779,1,0,RD10,20,0.10526315789473684,3,9
8,dynamic,11,12,0.8,3,38.333333333333336,17,367,0,0.1662916999848676,14,0,RD10,20,0.11884057971014493,12,43
8,dynamic_prediction,11,12,0.8,3,38.0,16,374,0,0.1817499999961001,14,0,RD10,20,0.11769005847953216,12,50
8,stability_0,11,12,0.8,3,37.5,11,376,0,0.16204650000145193,14,0,RD10,0,0.11777777777777777,12,48
8,stability_5,11,12,0.8,3,37.583333333333336,12,378,0,0.12638960001640953,14,0,RD10,5,0.11917960088691797,12,41
8,stability_50,11,12,0.8,3,38.333333333333336,17,367,0,0.1168265999876894,14,0,RD10,50,0.11884057971014493,12,43
8,stability_100,11,12,0.8,3,38.333333333333336,17,367,0,0.12592990001576254,14,0,RD10,100,0.11884057971014493,12,43
9,greedy,12,12,1.0,0,14.916666666666666,0,290,0,0.002792700004647486,14,14,RD13,20,0.2704841713221601,12,36
9,static,4,12,0.4,20,30.5,0,103,0,0.007600700002512895,1,0,RD13,20,0.11885245901639344,4,9
9,dynamic,11,12,0.8,3,32.833333333333336,5,281,0,0.11843790001148591,14,0,RD13,20,0.12436548223350254,12,37
9,dynamic_prediction,11,12,0.8,3,32.833333333333336,5,291,0,0.14679800000158139,14,0,RD13,20,0.12436548223350254,12,40
9,stability_0,11,12,0.8,3,32.916666666666664,5,281,0,0.12227940000593662,14,0,RD13,0,0.12510548523206752,12,43
9,stability_5,11,12,0.8,3,32.833333333333336,5,281,0,0.12326449998363387,14,0,RD13,5,0.12436548223350254,12,37
9,stability_50,11,12,0.8,3,32.833333333333336,5,281,0,0.14098899999225978,14,0,RD13,50,0.12436548223350254,12,37
9,stability_100,11,12,0.8,3,32.833333333333336,5,281,0,0.11566159999347292,14,0,RD13,100,0.12436548223350254,12,37
10,greedy,12,12,1.0,0,15.916666666666666,0,287,0,0.0028488999960245565,14,14,RD00,20,0.2081151832460733,12,32
10,static,4,12,0.4,20,31.25,0,123,0,0.008480999997118488,1,0,RD00,20,0.098,4,9
10,dynamic,11,12,1.0,2,32.083333333333336,1,288,0,0.11569409998628544,14,0,RD00,20,0.13658008658008658,12,41
10,dynamic_prediction,11,12,1.0,2,32.083333333333336,1,295,0,0.15457520000927616,14,0,RD00,20,0.13658008658008658,12,43
10,stability_0,11,12,1.0,2,32.25,1,288,0,0.15233420000731712,14,0,RD00,0,0.14018087855297157,12,60
10,stability_5,11,12,1.0,2,32.083333333333336,1,288,0,0.11578609998105094,14,0,RD00,5,0.13658008658008658,12,41
10,stability_50,11,12,1.0,2,32.083333333333336,1,288,0,0.11751170001662103,14,0,RD00,50,0.13658008658008658,12,41
10,stability_100,11,12,1.0,2,32.083333333333336,1,288,0,0.11554390000674175,14,0,RD00,100,0.13658008658008658,12,41
11,greedy,12,12,1.0,0,17.5,0,304,0,0.003276700015703682,14,14,RD14,20,0.21031746031746032,12,37
11,static,4,12,0.4,20,36.75,0,114,0,0.006778900002245791,1,0,RD14,20,0.11054421768707483,4,9
11,dynamic,11,12,1.0,2,37.0,3,296,0,0.12235099999816157,14,0,RD14,20,0.11073573573573574,12,41
11,dynamic_prediction,11,12,1.0,2,37.0,3,304,0,0.15324360002705362,14,0,RD14,20,0.11073573573573574,12,43
11,stability_0,12,12,1.0,0,33.916666666666664,3,296,0,0.14942200000223238,14,0,RD14,0,0.14352989352989354,12,51
11,stability_5,11,12,1.0,2,36.583333333333336,3,296,0,0.1267194000101881,14,0,RD14,5,0.12053910402429764,12,42
11,stability_50,11,12,1.0,2,37.0,3,296,0,0.11963419999665348,14,0,RD14,50,0.11073573573573574,12,41
