seed,resource_scale,event_rate,method,completed,total_tasks,urgent_satisfaction,mean_response,p1_response,weighted_response,started_tasks,unmet,lateness,travel,reassignments,withdrawals,violations,solve_seconds,solver_calls,fallback_calls,region_gini,unserved_regions,region_waits
0,0.5,high,rolling_beta_0,18,36,0.5333333333333333,29.666666666666668,31.77777777777778,2441,21,46,93,215,16,43,0,3.0788569999858737,22,0,0.1721471235460547,1,"[{""node"":""N3"",""tasks"":3,""started"":3,""wait"":13.333333333333334,""unstarted"":0},{""node"":""N4"",""tasks"":9,""started"":8,""wait"":33.375,""unstarted"":1},{""node"":""N5"",""tasks"":9,""started"":1,""wait"":19.0,""unstarted"":8},{""node"":""N6"",""tasks"":3,""started"":0,""wait"":null,""unstarted"":3},{""node"":""N7"",""tasks"":6,""started"":6,""wait"":32.166666666666664,""unstarted"":0},{""node"":""N8"",""tasks"":6,""started"":3,""wait"":34.666666666666664,""unstarted"":3}]"
1,0.5,high,rolling_beta_0,14,36,0.4666666666666667,32.666666666666664,44.75,2186,15,55,130,202,35,22,0,2.928700700009358,22,11,0.23655723158828745,1,"[{""node"":""N3"",""tasks"":3,""started"":3,""wait"":14.333333333333334,""unstarted"":0},{""node"":""N4"",""tasks"":9,""started"":5,""wait"":51.6,""unstarted"":4},{""node"":""N5"",""tasks"":9,""started"":3,""wait"":33.333333333333336,""unstarted"":6},{""node"":""N6"",""tasks"":3,""started"":0,""wait"":null,""unstarted"":3},{""node"":""N7"",""tasks"":6,""started"":3,""wait"":19.0,""unstarted"":3},{""node"":""N8"",""tasks"":6,""started"":1,""wait"":32.0,""unstarted"":5}]"
2,0.5,high,rolling_beta_0,15,36,0.4666666666666667,29.941176470588236,34.375,2077,17,53,87,258,24,45,0,3.3741006000054767,22,2,0.22600934976625586,1,"[{""node"":""N3"",""tasks"":3,""started"":3,""wait"":13.0,""unstarted"":0},{""node"":""N4"",""tasks"":9,""started"":5,""wait"":25.2,""unstarted"":4},{""node"":""N5"",""tasks"":9,""started"":3,""wait"":49.666666666666664,""unstarted"":6},{""node"":""N6"",""tasks"":3,""started"":0,""wait"":null,""unstarted"":3},{""node"":""N7"",""tasks"":6,""started"":4,""wait"":28.5,""unstarted"":2},{""node"":""N8"",""tasks"":6,""started"":2,""wait"":40.5,""unstarted"":4}]"
3,0.5,high,rolling_beta_0,16,36,0.5333333333333333,32.64705882352941,41.333333333333336,2409,17,50,154,249,20,40,0,2.8484260000259383,22,3,0.25443037974683547,1,"[{""node"":""N3"",""tasks"":3,""started"":3,""wait"":11.0,""unstarted"":0},{""node"":""N4"",""tasks"":9,""started"":5,""wait"":27.0,""unstarted"":4},{""node"":""N5"",""tasks"":9,""started"":4,""wait"":59.25,""unstarted"":5},{""node"":""N6"",""tasks"":3,""started"":0,""wait"":null,""unstarted"":3},{""node"":""N7"",""tasks"":6,""started"":4,""wait"":29.75,""unstarted"":2},{""node"":""N8"",""tasks"":6,""started"":1,""wait"":31.0,""unstarted"":5}]"
4,0.5,high,rolling_beta_0,14,36,0.4,36.611111111111114,46.25,2717,18,56,221,223,16,31,0,3.1831689000246115,22,3,0.24362046016352915,1,"[{""node"":""N3"",""tasks"":3,""started"":3,""wait"":10.333333333333334,""unstarted"":0},{""node"":""N4"",""tasks"":9,""started"":5,""wait"":52.8,""unstarted"":4},{""node"":""N5"",""tasks"":9,""started"":3,""wait"":35.333333333333336,""unstarted"":6},{""node"":""N6"",""tasks"":3,""started"":0,""wait"":null,""unstarted"":3},{""node"":""N7"",""tasks"":6,""started"":4,""wait"":27.5,""unstarted"":2},{""node"":""N8"",""tasks"":6,""started"":3,""wait"":49.333333333333336,""unstarted"":3}]"
5,0.5,high,rolling_beta_0,16,36,0.4666666666666667,36.26315789473684,44.375,2777,19,51,190,245,16,33,0,3.0582624999660766,22,1,0.2256068911511355,1,"[{""node"":""N3"",""tasks"":3,""started"":3,""wait"":11.333333333333334,""unstarted"":0},{""node"":""N4"",""tasks"":9,""started"":5,""wait"":51.6,""unstarted"":4},{""node"":""N5"",""tasks"":9,""started"":3,""wait"":32.333333333333336,""unstarted"":6},{""node"":""N6"",""tasks"":3,""started"":0,""wait"":null,""unstarted"":3},{""node"":""N7"",""tasks"":6,""started"":4,""wait"":29.75,""unstarted"":2},{""node"":""N8"",""tasks"":6,""started"":4,""wait"":45.25,""unstarted"":2}]"
6,0.5,high,rolling_beta_0,13,36,0.4666666666666667,36.470588235294116,45.333333333333336,2676,17,57,178,216,19,41,0,3.2319619999761926,22,3,0.19288152120916627,1,"[{""node"":""N3"",""tasks"":3,""started"":3,""wait"":14.333333333333334,""unstarted"":0},{""node"":""N4"",""tasks"":9,""started"":6,""wait"":51.666666666666664,""unstarted"":3},{""node"":""N5"",""tasks"":9,""started"":3,""wait"":32.666666666666664,""unstarted"":6},{""node"":""N6"",""tasks"":3,""started"":0,""wait"":null,""unstarted"":3},{""node"":""N7"",""tasks"":6,""started"":4,""wait"":32.25,""unstarted"":2},{""node"":""N8"",""tasks"":6,""started"":1,""wait"":40.0,""unstarted"":5}]"
7,0.5,high,rolling_beta_0,14,36,0.4,33.64705882352941,40.0,2276,17,56,158,209,22,40,0,3.2487218999449397,22,2,0.25714285714285723,1,"[{""node"":""N3"",""tasks"":3,""started"":3,""wait"":10.0,""unstarted"":0},{""node"":""N4"",""tasks"":9,""started"":4,""wait"":36.5,""unstarted"":5},{""node"":""N5"",""tasks"":9,""started"":3,""wait"":44.666666666666664,""unstarted"":6},{""node"":""N6"",""tasks"":3,""started"":0,""wait"":null,""unstarted"":3},{""node"":""N7"",""tasks"":6,""started"":4,""wait"":24.5,""unstarted"":2},{""node"":""N8"",""tasks"":6,""started"":3,""wait"":54.666666666666664,""unstarted"":3}]"
8,0.5,high,rolling_beta_0,17,36,0.6,32.25,36.45454545454545,2737,20,47,166,232,28,29,0,2.614525400014827,22,0,0.25696316262354,1,"[{""node"":""N3"",""tasks"":3,""started"":3,""wait"":12.333333333333334,""unstarted"":0},{""node"":""N4"",""tasks"":9,""started"":8,""wait"":28.5,""unstarted"":1},{""node"":""N5"",""tasks"":9,""started"":3,""wait"":57.666666666666664,""unstarted"":6},{""node"":""N6"",""tasks"":3,""started"":0,""wait"":null,""unstarted"":3},{""node"":""N7"",""tasks"":6,""started"":5,""wait"":30.0,""unstarted"":1},{""node"":""N8"",""tasks"":6,""started"":1,""wait"":57.0,""unstarted"":5}]"
9,0.5,high,rolling_beta_0,14,36,0.4,32.875,41.875,2248,16,56,181,197,13,42,0,2.9987057000253117,22,6,0.25848670756646214,1,"[{""node"":""N3"",""tasks"":3,""started"":3,""wait"":11.0,""unstarted"":0},{""node"":""N4"",""tasks"":9,""started"":5,""wait"":44.0,""unstarted"":4},{""node"":""N5"",""tasks"":9,""started"":3,""wait"":38.333333333333336,""unstarted"":6},{""node"":""N6"",""tasks"":3,""started"":0,""wait"":null,""unstarted"":3},{""node"":""N7"",""tasks"":6,""started"":3,""wait"":18.666666666666668,""unstarted"":3},{""node"":""N8"",""tasks"":6,""started"":2,""wait"":51.0,""unstarted"":4}]"
