station_id,type,model,horizon_minutes,mae,rmse,test_samples,train_samples,features,cadence_minutes,milliseconds,protocol
S01,displacement,Persistence,5,0.35206896551724143,0.4648648301870423,58,207,144,5,0.6409000052371994,joint_lags_fixed_train_recursive_common_origins
S01,rainfall,Persistence,5,1.767706896551724,2.1267755381457567,58,207,144,5,0.716800001100637,joint_lags_fixed_train_recursive_common_origins
S01,soil_moisture,Persistence,5,0.8249482758620689,1.019827968927552,58,207,144,5,0.785399999585934,joint_lags_fixed_train_recursive_common_origins
S01,water_level,Persistence,5,0.052534482758620694,0.06612566406680438,58,207,144,5,0.8478999952785671,joint_lags_fixed_train_recursive_common_origins
S02,displacement,Persistence,5,0.41241379310344817,0.5144580677259089,58,207,144,5,0.9085999918170273,joint_lags_fixed_train_recursive_common_origins
S02,rainfall,Persistence,5,1.8522586206896552,2.1815586922166927,58,207,144,5,0.9694000036688522,joint_lags_fixed_train_recursive_common_origins
S02,soil_moisture,Persistence,5,0.724327586206896,0.9149012288879539,58,207,144,5,1.073399995220825,joint_lags_fixed_train_recursive_common_origins
S02,water_level,Persistence,5,0.05574137931034482,0.06908253434641887,58,207,144,5,1.1580999998841435,joint_lags_fixed_train_recursive_common_origins
S03,displacement,Persistence,5,0.4363275862068965,0.5745097910392823,58,207,144,5,1.2207999970996752,joint_lags_fixed_train_recursive_common_origins
S03,rainfall,Persistence,5,1.5120172413793107,1.7988183813174463,58,207,144,5,1.2806000013370067,joint_lags_fixed_train_recursive_common_origins
S03,soil_moisture,Persistence,5,0.8303793103448277,1.0152056526839177,58,207,144,5,1.3389999949140474,joint_lags_fixed_train_recursive_common_origins
S03,water_level,Persistence,5,0.044551724137931056,0.056021547578618776,58,207,144,5,1.3986999983899295,joint_lags_fixed_train_recursive_common_origins
S01,displacement,Persistence,15,0.7566379310344827,0.9803082643247727,58,207,144,5,2.213700005086139,joint_lags_fixed_train_recursive_common_origins
S01,rainfall,Persistence,15,2.314379310344828,2.768435640673578,58,207,144,5,2.277799998410046,joint_lags_fixed_train_recursive_common_origins
S01,soil_moisture,Persistence,15,1.4185172413793103,1.8016602018023882,58,207,144,5,2.3382999934256077,joint_lags_fixed_train_recursive_common_origins
S01,water_level,Persistence,15,0.08325862068965517,0.11513942073371981,58,207,144,5,2.398900003754534,joint_lags_fixed_train_recursive_common_origins
S02,displacement,Persistence,15,0.7758965517241377,1.0035895747180512,58,207,144,5,2.4556999997003004,joint_lags_fixed_train_recursive_common_origins
S02,rainfall,Persistence,15,2.471844827586207,2.9810308185893204,58,207,144,5,2.5133000017376617,joint_lags_fixed_train_recursive_common_origins
S02,soil_moisture,Persistence,15,1.462396551724138,1.8236135546084655,58,207,144,5,2.5710000045364723,joint_lags_fixed_train_recursive_common_origins
S02,water_level,Persistence,15,0.09491379310344829,0.11828508810904914,58,207,144,5,2.627499998197891,joint_lags_fixed_train_recursive_common_origins
S03,displacement,Persistence,15,0.7772931034482758,1.0292759507336313,58,207,144,5,2.683800004888326,joint_lags_fixed_train_recursive_common_origins
S03,rainfall,Persistence,15,2.3431896551724143,2.7665611075971133,58,207,144,5,2.7421999984653667,joint_lags_fixed_train_recursive_common_origins
S03,soil_moisture,Persistence,15,1.4097241379310341,1.8178155325403145,58,207,144,5,2.7992999966954812,joint_lags_fixed_train_recursive_common_origins
S03,water_level,Persistence,15,0.0836896551724138,0.113766093973253,58,207,144,5,2.856799997971393,joint_lags_fixed_train_recursive_common_origins
S01,displacement,Persistence,30,1.4600344827586207,1.9327133776119,58,207,144,5,4.981499994755723,joint_lags_fixed_train_recursive_common_origins
S01,rainfall,Persistence,30,3.651844827586207,4.648620939368044,58,207,144,5,5.050699997809716,joint_lags_fixed_train_recursive_common_origins
S01,soil_moisture,Persistence,30,2.6085689655172413,3.384822414228267,58,207,144,5,5.147699994267896,joint_lags_fixed_train_recursive_common_origins
S01,water_level,Persistence,30,0.15787931034482755,0.21799410779762549,58,207,144,5,5.207399997743778,joint_lags_fixed_train_recursive_common_origins
S02,displacement,Persistence,30,1.4553965517241378,1.9211275020961898,58,207,144,5,5.2647999982582405,joint_lags_fixed_train_recursive_common_origins
