resource_scale,event_rate,method,seeds,urgent_satisfaction,mean_response,unmet,travel,reassignments,withdrawals,region_gini,unserved_regions
1,low,greedy,20,1.0,16.645833333333332,0.0,290.65,0.0,0.05,0.20320817559442517,0.0
1,low,static,20,0.4,14.425,20.0,114.05,0.0,0.0,0.21290483977825975,2.0
1,low,rolling,20,1.0,16.625,0.0,288.75,0.0,0.0,0.20288470085995267,0.0
1,low,rolling_forecast,20,1.0,15.1875,0.0,340.2,0.1,0.05,0.17352993137277234,0.0
1,medium,greedy,20,1.0,19.835416666666667,0.1,406.1,1.65,3.0,0.267637161594167,0.0
1,medium,static,20,0.2,14.425,49.0,114.05,0.0,0.0,0.21290483977825975,2.0
1,medium,rolling,20,0.995,19.37007575757576,0.35,387.45,0.7,5.0,0.2325449066187379,0.05
1,medium,rolling_forecast,20,1.0,16.877083333333335,0.0,398.4,0.85,5.25,0.18874344997993794,0.0
1,high,greedy,20,0.8366666666666667,27.060028932115138,24.75,465.45,34.05,21.0,0.24215724135205066,0.2
1,high,static,20,0.13333333333333333,14.425,78.0,114.05,0.0,0.0,0.21290483977825975,2.0
1,high,rolling,20,0.8166666666666667,26.43817196462823,16.35,444.5,19.0,27.5,0.20798506929635324,0.0
1,high,rolling_forecast,20,0.85,25.75819274691371,15.7,449.5,16.9,32.35,0.2009371105109306,0.1
0.75,low,greedy,20,1.0,17.21666666666667,0.0,290.15,0.0,0.05,0.19670480578464938,0.0
0.75,low,static,20,0.4,14.425,20.0,114.05,0.0,0.0,0.21290483977825975,2.0
0.75,low,rolling,20,1.0,17.2,0.0,286.9,0.0,0.0,0.19604982547321212,0.0
0.75,low,rolling_forecast,20,1.0,15.479166666666666,0.0,311.5,0.0,0.0,0.1617175422308499,0.0
0.75,medium,greedy,20,0.975,26.913030303030304,11.15,319.3,9.1,7.15,0.3237172586976813,0.95
0.75,medium,static,20,0.2,14.425,49.0,114.05,0.0,0.0,0.21290483977825975,2.0
0.75,medium,rolling,20,0.935,21.983200404667794,3.85,331.9,2.35,3.65,0.23623835315561473,0.1
0.75,medium,rolling_forecast,20,0.93,24.43642041120588,7.7,329.1,5.4,9.95,0.23657348618107554,0.4
0.75,high,greedy,20,0.6233333333333333,29.673339031339033,31.95,357.3,22.9,13.25,0.2716602904521996,0.05
0.75,high,static,20,0.13333333333333333,14.425,78.0,114.05,0.0,0.0,0.21290483977825975,2.0
0.75,high,rolling,20,0.6533333333333333,28.84027905985581,30.05,368.3,22.2,32.55,0.22999770803762384,0.15
0.75,high,rolling_forecast,20,0.6533333333333333,29.325766943033074,29.9,351.1,21.35,30.4,0.25844565515804974,0.05
0.5,low,greedy,20,1.0,27.485,6.3,239.05,0.4,1.6,0.31891889362577125,1.0
0.5,low,static,20,0.4,16.2,20.0,128.7,0.0,0.0,0.18318349751385754,2.0
0.5,low,rolling,20,1.0,23.49222222222222,5.1,230.05,0.0,0.05,0.17611837787046794,1.0
0.5,low,rolling_forecast,20,1.0,23.467777777777776,5.2,229.5,0.0,0.15,0.17161313850330132,1.0
0.5,medium,greedy,20,0.8,27.48948717948718,26.6,192.7,10.8,5.15,0.28709524497403854,1.3
0.5,medium,static,20,0.2,16.2,49.0,128.7,0.0,0.0,0.18318349751385754,2.0
0.5,medium,rolling,20,0.795,26.142438411261942,22.05,223.9,6.3,10.45,0.28132156069994624,1.05
0.5,medium,rolling_forecast,20,0.805,27.020359791352437,21.65,224.5,5.95,12.5,0.27662894927767523,1.05
0.5,high,greedy,20,0.4633333333333333,34.63199754901961,52.95,206.45,16.85,13.65,0.24689096717917894,1.05
0.5,high,static,20,0.13333333333333333,16.2,78.0,128.7,0.0,0.0,0.18318349751385754,2.0
0.5,high,rolling,20,0.4866666666666667,34.38406505903797,50.8,235.55,16.75,33.15,0.26034833159825255,1.0
0.5,high,rolling_forecast,20,0.44666666666666666,34.278067810457514,53.6,223.15,15.15,34.7,0.25566023066341803,1.0
0.35,low,greedy,20,0.6,32.035714285714285,13.0,142.7,0.75,2.0,0.43041011627953585,1.0
0.35,low,static,20,0.2,15.516666666666666,23.0,82.65,0.0,0.0,0.20832801288564412,3.0
0.35,low,rolling,20,0.59,22.776190476190475,13.15,150.5,0.4,1.9,0.21892400766590897,1.0
0.35,low,rolling_forecast,20,0.59,22.776190476190475,13.15,150.5,0.4,1.9,0.21892400766590897,1.0
0.35,medium,greedy,20,0.44,24.480454545454545,36.8,135.95,2.3,1.55,0.30616083513409714,1.0
0.35,medium,static,20,0.1,15.516666666666666,52.0,82.65,0.0,0.0,0.20832801288564412,3.0
0.35,medium,rolling,20,0.43,23.202651515151516,36.2,136.15,3.9,4.6,0.28814467309516395,1.05
0.35,medium,rolling_forecast,20,0.41500000000000004,23.489469696969696,36.25,140.75,4.1,5.1,0.2798490507277777,1.05
0.35,high,greedy,20,0.3,25.693910256410255,61.4,127.5,3.0,2.55,0.2527282423196589,1.7
0.35,high,static,20,0.06666666666666667,15.516666666666666,81.0,82.65,0.0,0.0,0.20832801288564412,3.0
0.35,high,rolling,20,0.23666666666666666,26.01080586080586,61.85,139.9,9.05,17.1,0.24507466663133418,1.95
0.35,high,rolling_forecast,20,0.23333333333333334,26.920283882783885,62.5,140.15,9.65,17.05,0.2667121249297075,1.9
