seed,beta,completed,total_tasks,urgent_satisfaction,mean_response,p1_response,weighted_response,started_tasks,unmet,lateness,travel,reassignments,withdrawals,violations,solve_seconds,solver_calls,fallback_calls,region_gini,unserved_regions,region_waits
1,0,18,36,0.5454545454545454,29.772727272727273,34.4375,3067,22,38,156,347,13,19,0,3.160715700025321,31,0,0.2984444812179381,0,"[{""node"":""N3"",""tasks"":7,""started"":5,""wait"":18.6,""unstarted"":2},{""node"":""N4"",""tasks"":7,""started"":3,""wait"":15.666666666666666,""unstarted"":4},{""node"":""N5"",""tasks"":9,""started"":6,""wait"":22.166666666666668,""unstarted"":3},{""node"":""N6"",""tasks"":4,""started"":2,""wait"":29.0,""unstarted"":2},{""node"":""N7"",""tasks"":5,""started"":4,""wait"":46.0,""unstarted"":1},{""node"":""N8"",""tasks"":4,""started"":2,""wait"":70.0,""unstarted"":2}]"
1,1,20,36,0.5454545454545454,24.772727272727273,28.142857142857142,2423,22,35,72,340,20,25,0,3.12196280003991,31,0,0.18886022892148963,0,"[{""node"":""N3"",""tasks"":7,""started"":5,""wait"":20.0,""unstarted"":2},{""node"":""N4"",""tasks"":7,""started"":3,""wait"":16.333333333333332,""unstarted"":4},{""node"":""N5"",""tasks"":9,""started"":7,""wait"":27.857142857142858,""unstarted"":2},{""node"":""N6"",""tasks"":4,""started"":2,""wait"":14.0,""unstarted"":2},{""node"":""N7"",""tasks"":5,""started"":4,""wait"":34.5,""unstarted"":1},{""node"":""N8"",""tasks"":4,""started"":1,""wait"":35.0,""unstarted"":3}]"
1,2,18,36,0.5454545454545454,26.285714285714285,29.866666666666667,2552,21,38,109,342,21,22,0,3.381472700028098,31,0,0.2328945993941293,0,"[{""node"":""N3"",""tasks"":7,""started"":5,""wait"":20.8,""unstarted"":2},{""node"":""N4"",""tasks"":7,""started"":3,""wait"":16.0,""unstarted"":4},{""node"":""N5"",""tasks"":9,""started"":6,""wait"":23.0,""unstarted"":3},{""node"":""N6"",""tasks"":4,""started"":2,""wait"":16.0,""unstarted"":2},{""node"":""N7"",""tasks"":5,""started"":4,""wait"":48.75,""unstarted"":1},{""node"":""N8"",""tasks"":4,""started"":1,""wait"":35.0,""unstarted"":3}]"
1,5,18,36,0.6363636363636364,30.952380952380953,34.9375,3068,21,37,169,345,27,13,0,2.7131840999936685,31,0,0.2804248731401049,0,"[{""node"":""N3"",""tasks"":7,""started"":4,""wait"":19.25,""unstarted"":3},{""node"":""N4"",""tasks"":7,""started"":5,""wait"":26.2,""unstarted"":2},{""node"":""N5"",""tasks"":9,""started"":6,""wait"":32.833333333333336,""unstarted"":3},{""node"":""N6"",""tasks"":4,""started"":1,""wait"":15.0,""unstarted"":3},{""node"":""N7"",""tasks"":5,""started"":3,""wait"":29.0,""unstarted"":2},{""node"":""N8"",""tasks"":4,""started"":2,""wait"":71.5,""unstarted"":2}]"
1,10,19,36,0.5909090909090909,26.363636363636363,26.375,2584,22,35,139,316,15,25,0,3.2202027000312228,31,0,0.37029530978575564,0,"[{""node"":""N3"",""tasks"":7,""started"":4,""wait"":16.25,""unstarted"":3},{""node"":""N4"",""tasks"":7,""started"":4,""wait"":15.75,""unstarted"":3},{""node"":""N5"",""tasks"":9,""started"":8,""wait"":17.375,""unstarted"":1},{""node"":""N6"",""tasks"":4,""started"":1,""wait"":48.0,""unstarted"":3},{""node"":""N7"",""tasks"":5,""started"":3,""wait"":28.0,""unstarted"":2},{""node"":""N8"",""tasks"":4,""started"":2,""wait"":90.5,""unstarted"":2}]"
1,20,18,36,0.6818181818181818,22.19047619047619,23.58823529411765,2200,21,36,64,307,15,18,0,3.367195300088497,31,0,0.21790338298760964,1,"[{""node"":""N3"",""tasks"":7,""started"":4,""wait"":15.25,""unstarted"":3},{""node"":""N4"",""tasks"":7,""started"":5,""wait"":29.8,""unstarted"":2},{""node"":""N5"",""tasks"":9,""started"":6,""wait"":10.666666666666666,""unstarted"":3},{""node"":""N6"",""tasks"":4,""started"":3,""wait"":36.0,""unstarted"":1},{""node"":""N7"",""tasks"":5,""started"":3,""wait"":28.0,""unstarted"":2},{""node"":""N8"",""tasks"":4,""started"":0,""wait"":null,""unstarted"":4}]"
1,50,15,36,0.6363636363636364,23.38888888888889,23.6875,2021,18,42,42,307,10,38,0,4.691586999964784,31,0,0.12473468965160223,0,"[{""node"":""N3"",""tasks"":7,""started"":4,""wait"":27.0,""unstarted"":3},{""node"":""N4"",""tasks"":7,""started"":3,""wait"":18.666666666666668,""unstarted"":4},{""node"":""N5"",""tasks"":9,""started"":7,""wait"":19.142857142857142,""unstarted"":2},{""node"":""N6"",""tasks"":4,""started"":1,""wait"":30.0,""unstarted"":3},{""node"":""N7"",""tasks"":5,""started"":2,""wait"":34.5,""unstarted"":3},{""node"":""N8"",""tasks"":4,""started"":1,""wait"":24.0,""unstarted"":3}]"
5,0,19,36,0.6818181818181818,30.59090909090909,28.4375,2929,22,40,182,367,30,19,0,2.1658041000337107,30,0,0.17721253520282826,0,"[{""node"":""N3"",""tasks"":7,""started"":6,""wait"":27.833333333333332,""unstarted"":1},{""node"":""N4"",""tasks"":6,""started"":3,""wait"":19.0,""unstarted"":3},{""node"":""N5"",""tasks"":5,""started"":2,""wait"":39.5,""unstarted"":3},{""node"":""N6"",""tasks"":5,""started"":4,""wait"":19.0,""unstarted"":1},{""node"":""N7"",""tasks"":7,""started"":5,""wait"":44.6,""unstarted"":2},{""node"":""N8"",""tasks"":6,""started"":2,""wait"":35.5,""unstarted"":4}]"
5,1,18,36,0.5909090909090909,26.09090909090909,26.705882352941178,2630,22,43,82,374,26,18,0,2.236945199998445,30,0,0.14998991325398428,0,"[{""node"":""N3"",""tasks"":7,""started"":6,""wait"":20.833333333333332,""unstarted"":1},{""node"":""N4"",""tasks"":6,""started"":3,""wait"":22.0,""unstarted"":3},{""node"":""N5"",""tasks"":5,""started"":2,""wait"":39.5,""unstarted"":3},{""node"":""N6"",""tasks"":5,""started"":4,""wait"":19.0,""unstarted"":1},{""node"":""N7"",""tasks"":7,""started"":5,""wait"":33.4,""unstarted"":2},{""node"":""N8"",""tasks"":6,""started"":2,""wait"":30.5,""unstarted"":4}]"
5,2,17,36,0.5909090909090909,26.0,25.58823529411765,2586,22,44,82,373,29,13,0,2.34922579996055,30,0,0.21575783598110773,0,"[{""node"":""N3"",""tasks"":7,""started"":6,""wait"":20.5,""unstarted"":1},{""node"":""N4"",""tasks"":6,""started"":3,""wait"":21.666666666666668,""unstarted"":3},{""node"":""N5"",""tasks"":5,""started"":3,""wait"":36.333333333333336,""unstarted"":2},{""node"":""N6"",""tasks"":5,""started"":3,""wait"":8.666666666666666,""unstarted"":2},{""node"":""N7"",""tasks"":7,""started"":5,""wait"":37.6,""unstarted"":2},{""node"":""N8"",""tasks"":6,""started"":2,""wait"":30.5,""unstarted"":4}]"
