seed,event_rate,resource_scale,method,completed,total_tasks,urgent_satisfaction,mean_response,p1_response,weighted_response,started_tasks,unmet,lateness,travel,reassignments,withdrawals,violations,solve_seconds,solver_calls,fallback_calls,region_gini,unserved_regions,region_waits,lex_complete_calls,lex_proven_p1_calls
1,low,0.5,greedy,10,12,1.0,28.3,20.8,1057,10,5,23,252,0,1,0,0.006716600008076057,14,14,0.29739776951672864,1,"[{""node"":""N3"",""tasks"":1,""started"":1,""wait"":10.0,""unstarted"":0},{""node"":""N4"",""tasks"":3,""started"":3,""wait"":24.0,""unstarted"":0},{""node"":""N5"",""tasks"":3,""started"":2,""wait"":16.0,""unstarted"":1},{""node"":""N6"",""tasks"":1,""started"":0,""wait"":null,""unstarted"":1},{""node"":""N7"",""tasks"":2,""started"":2,""wait"":33.0,""unstarted"":0},{""node"":""N8"",""tasks"":2,""started"":2,""wait"":51.5,""unstarted"":0}]",,
1,low,0.5,static,4,12,0.4,17.5,17.5,280,4,20,0,135,0,0,0,0.012073199992300943,1,0,0.16428571428571428,2,"[{""node"":""N3"",""tasks"":1,""started"":1,""wait"":10.0,""unstarted"":0},{""node"":""N4"",""tasks"":3,""started"":1,""wait"":17.0,""unstarted"":2},{""node"":""N5"",""tasks"":3,""started"":1,""wait"":18.0,""unstarted"":2},{""node"":""N6"",""tasks"":1,""started"":0,""wait"":null,""unstarted"":1},{""node"":""N7"",""tasks"":2,""started"":1,""wait"":25.0,""unstarted"":1},{""node"":""N8"",""tasks"":2,""started"":0,""wait"":null,""unstarted"":2}]",,
1,low,0.5,rolling,10,12,1.0,24.3,24.8,977,10,5,7,245,0,0,0,0.09130060001916718,14,0,0.1433628318584071,1,"[{""node"":""N3"",""tasks"":1,""started"":1,""wait"":10.0,""unstarted"":0},{""node"":""N4"",""tasks"":3,""started"":3,""wait"":27.0,""unstarted"":0},{""node"":""N5"",""tasks"":3,""started"":2,""wait"":21.5,""unstarted"":1},{""node"":""N6"",""tasks"":1,""started"":0,""wait"":null,""unstarted"":1},{""node"":""N7"",""tasks"":2,""started"":2,""wait"":27.5,""unstarted"":0},{""node"":""N8"",""tasks"":2,""started"":2,""wait"":27.0,""unstarted"":0}]",,
1,low,0.5,lexicographic,9,12,1.0,28.1,24.8,1091,10,7,30,245,0,0,0,0.2367349000123795,14,0,0.23787878787878788,1,"[{""node"":""N3"",""tasks"":1,""started"":1,""wait"":10.0,""unstarted"":0},{""node"":""N4"",""tasks"":3,""started"":3,""wait"":27.0,""unstarted"":0},{""node"":""N5"",""tasks"":3,""started"":2,""wait"":21.5,""unstarted"":1},{""node"":""N6"",""tasks"":1,""started"":0,""wait"":null,""unstarted"":1},{""node"":""N7"",""tasks"":2,""started"":2,""wait"":46.5,""unstarted"":0},{""node"":""N8"",""tasks"":2,""started"":2,""wait"":27.0,""unstarted"":0}]",14,14
1,low,0.5,rolling_forecast,10,12,1.0,24.3,24.8,977,10,5,7,245,0,0,0,0.088875299989013,14,0,0.1433628318584071,1,"[{""node"":""N3"",""tasks"":1,""started"":1,""wait"":10.0,""unstarted"":0},{""node"":""N4"",""tasks"":3,""started"":3,""wait"":27.0,""unstarted"":0},{""node"":""N5"",""tasks"":3,""started"":2,""wait"":21.5,""unstarted"":1},{""node"":""N6"",""tasks"":1,""started"":0,""wait"":null,""unstarted"":1},{""node"":""N7"",""tasks"":2,""started"":2,""wait"":27.5,""unstarted"":0},{""node"":""N8"",""tasks"":2,""started"":2,""wait"":27.0,""unstarted"":0}]",,
1,medium,0.5,greedy,13,24,1.0,29.0625,16.125,1653,16,25,130,305,7,8,0,0.013266700014355592,18,18,0.30118662351672065,1,"[{""node"":""N3"",""tasks"":5,""started"":4,""wait"":18.0,""unstarted"":1},{""node"":""N4"",""tasks"":6,""started"":5,""wait"":28.6,""unstarted"":1},{""node"":""N5"",""tasks"":7,""started"":5,""wait"":27.8,""unstarted"":2},{""node"":""N6"",""tasks"":1,""started"":0,""wait"":null,""unstarted"":1},{""node"":""N7"",""tasks"":2,""started"":1,""wait"":25.0,""unstarted"":1},{""node"":""N8"",""tasks"":3,""started"":1,""wait"":86.0,""unstarted"":2}]",,
1,medium,0.5,static,4,24,0.25,17.5,17.5,280,4,45,0,135,0,0,0,0.009858000004896894,1,0,0.16428571428571428,2,"[{""node"":""N3"",""tasks"":5,""started"":1,""wait"":10.0,""unstarted"":4},{""node"":""N4"",""tasks"":6,""started"":1,""wait"":17.0,""unstarted"":5},{""node"":""N5"",""tasks"":7,""started"":1,""wait"":18.0,""unstarted"":6},{""node"":""N6"",""tasks"":1,""started"":0,""wait"":null,""unstarted"":1},{""node"":""N7"",""tasks"":2,""started"":1,""wait"":25.0,""unstarted"":1},{""node"":""N8"",""tasks"":3,""started"":0,""wait"":null,""unstarted"":3}]",,
1,medium,0.5,rolling,15,24,1.0,20.3125,16.125,1233,16,21,12,265,2,9,0,0.9040636000427185,18,0,0.29532710280373836,1,"[{""node"":""N3"",""tasks"":5,""started"":3,""wait"":9.0,""unstarted"":2},{""node"":""N4"",""tasks"":6,""started"":5,""wait"":18.2,""unstarted"":1},{""node"":""N5"",""tasks"":7,""started"":5,""wait"":16.2,""unstarted"":2},{""node"":""N6"",""tasks"":1,""started"":0,""wait"":null,""unstarted"":1},{""node"":""N7"",""tasks"":2,""started"":2,""wait"":41.0,""unstarted"":0},{""node"":""N8"",""tasks"":3,""started"":1,""wait"":44.0,""unstarted"":2}]",,
1,medium,0.5,lexicographic,15,24,1.0,27.647058823529413,16.125,1668,17,21,99,293,5,3,0,1.5403545000153827,18,0,0.29126096159661324,1,"[{""node"":""N3"",""tasks"":5,""started"":4,""wait"":22.25,""unstarted"":1},{""node"":""N4"",""tasks"":6,""started"":5,""wait"":21.6,""unstarted"":1},{""node"":""N5"",""tasks"":7,""started"":4,""wait"":15.0,""unstarted"":3},{""node"":""N6"",""tasks"":1,""started"":0,""wait"":null,""unstarted"":1},{""node"":""N7"",""tasks"":2,""started"":2,""wait"":41.0,""unstarted"":0},{""node"":""N8"",""tasks"":3,""started"":2,""wait"":65.5,""unstarted"":1}]",17,18
1,medium,0.5,rolling_forecast,15,24,1.0,20.3125,16.125,1233,16,21,12,265,2,9,0,0.9583576000295579,18,0,0.29532710280373836,1,"[{""node"":""N3"",""tasks"":5,""started"":3,""wait"":9.0,""unstarted"":2},{""node"":""N4"",""tasks"":6,""started"":5,""wait"":18.2,""unstarted"":1},{""node"":""N5"",""tasks"":7,""started"":5,""wait"":16.2,""unstarted"":2},{""node"":""N6"",""tasks"":1,""started"":0,""wait"":null,""unstarted"":1},{""node"":""N7"",""tasks"":2,""started"":2,""wait"":41.0,""unstarted"":0},{""node"":""N8"",""tasks"":3,""started"":1,""wait"":44.0,""unstarted"":2}]",,
