resource_scale,event_rate,method,baseline,metric,pairs,mean_difference,median_difference,ci_low,ci_high,paired_standardized_effect,win_rate,tie_rate,inference
1,low,rolling,constraint_aware_greedy,urgent_satisfaction,20,0.0,0.0,0.0,0.0,,0.0,1.0,exploratory pointwise percentile bootstrap; no multiple-comparison correction
1,low,rolling,constraint_aware_greedy,mean_response,20,-0.02083333333333339,0.0,-0.05833333333333357,0.0,-0.2745848236826371,0.1,0.9,exploratory pointwise percentile bootstrap; no multiple-comparison correction
1,low,rolling,constraint_aware_greedy,unmet,20,0.0,0.0,0.0,0.0,,0.0,1.0,exploratory pointwise percentile bootstrap; no multiple-comparison correction
1,low,rolling_forecast,constraint_aware_greedy,urgent_satisfaction,20,0.0,0.0,0.0,0.0,,0.0,1.0,exploratory pointwise percentile bootstrap; no multiple-comparison correction
1,low,rolling_forecast,constraint_aware_greedy,mean_response,20,-1.4583333333333333,-1.3750000000000018,-1.675,-1.2624999999999997,-3.0223526241349417,1.0,0.0,exploratory pointwise percentile bootstrap; no multiple-comparison correction
1,low,rolling_forecast,constraint_aware_greedy,unmet,20,0.0,0.0,0.0,0.0,,0.0,1.0,exploratory pointwise percentile bootstrap; no multiple-comparison correction
1,medium,rolling,constraint_aware_greedy,urgent_satisfaction,20,-0.004999999999999999,0.0,-0.014999999999999996,0.0,-0.22360679774997896,0.0,0.95,exploratory pointwise percentile bootstrap; no multiple-comparison correction
1,medium,rolling,constraint_aware_greedy,mean_response,20,-0.4653409090909094,-1.0,-1.285416666666667,0.4219744318181809,-0.22930228773405859,0.6,0.05,exploratory pointwise percentile bootstrap; no multiple-comparison correction
1,medium,rolling,constraint_aware_greedy,unmet,20,0.25,0.0,-0.2,0.8,0.20686418924693756,0.05,0.85,exploratory pointwise percentile bootstrap; no multiple-comparison correction
1,medium,rolling_forecast,constraint_aware_greedy,urgent_satisfaction,20,0.0,0.0,0.0,0.0,,0.0,1.0,exploratory pointwise percentile bootstrap; no multiple-comparison correction
1,medium,rolling_forecast,constraint_aware_greedy,mean_response,20,-2.958333333333333,-3.166666666666667,-3.7833333333333337,-2.1166666666666663,-1.5185645940655592,0.9,0.05,exploratory pointwise percentile bootstrap; no multiple-comparison correction
1,medium,rolling_forecast,constraint_aware_greedy,unmet,20,-0.1,0.0,-0.3,0.0,-0.22360679774997902,0.05,0.95,exploratory pointwise percentile bootstrap; no multiple-comparison correction
1,high,rolling,constraint_aware_greedy,urgent_satisfaction,20,-0.02000000000000001,0.0,-0.056666666666666685,0.013333333333333326,-0.24624844745163468,0.2,0.5,exploratory pointwise percentile bootstrap; no multiple-comparison correction
1,high,rolling,constraint_aware_greedy,mean_response,20,-0.6218569674869119,-0.019999999999999574,-1.6630756901224577,0.42930137283106956,-0.25422749853646526,0.5,0.05,exploratory pointwise percentile bootstrap; no multiple-comparison correction
1,high,rolling,constraint_aware_greedy,unmet,20,-8.4,-8.0,-12.45,-4.45,-0.8973772452155551,0.65,0.25,exploratory pointwise percentile bootstrap; no multiple-comparison correction
1,high,rolling_forecast,constraint_aware_greedy,urgent_satisfaction,20,0.01333333333333333,0.0,-0.026666666666666672,0.05,0.14693845341131462,0.45,0.35,exploratory pointwise percentile bootstrap; no multiple-comparison correction
1,high,rolling_forecast,constraint_aware_greedy,mean_response,20,-1.3018361852014277,-0.98585611668776,-2.3469365149152934,-0.2900379651244865,-0.5409989054575045,0.75,0.0,exploratory pointwise percentile bootstrap; no multiple-comparison correction
1,high,rolling_forecast,constraint_aware_greedy,unmet,20,-9.05,-10.0,-12.25,-5.8,-1.1803437736384488,0.85,0.1,exploratory pointwise percentile bootstrap; no multiple-comparison correction
0.75,low,rolling,constraint_aware_greedy,urgent_satisfaction,20,0.0,0.0,0.0,0.0,,0.0,1.0,exploratory pointwise percentile bootstrap; no multiple-comparison correction
0.75,low,rolling,constraint_aware_greedy,mean_response,20,-0.016666666666666784,0.0,-0.05000000000000036,0.0,-0.22360679774997896,0.05,0.95,exploratory pointwise percentile bootstrap; no multiple-comparison correction
0.75,low,rolling,constraint_aware_greedy,unmet,20,0.0,0.0,0.0,0.0,,0.0,1.0,exploratory pointwise percentile bootstrap; no multiple-comparison correction
0.75,low,rolling_forecast,constraint_aware_greedy,urgent_satisfaction,20,0.0,0.0,0.0,0.0,,0.0,1.0,exploratory pointwise percentile bootstrap; no multiple-comparison correction
0.75,low,rolling_forecast,constraint_aware_greedy,mean_response,20,-1.7375000000000003,-1.7500000000000009,-1.9083333333333339,-1.5666666666666667,-4.253424087880409,1.0,0.0,exploratory pointwise percentile bootstrap; no multiple-comparison correction
0.75,low,rolling_forecast,constraint_aware_greedy,unmet,20,0.0,0.0,0.0,0.0,,0.0,1.0,exploratory pointwise percentile bootstrap; no multiple-comparison correction
0.75,medium,rolling,constraint_aware_greedy,urgent_satisfaction,20,-0.039999999999999994,-0.04999999999999999,-0.07499999999999998,-0.004999999999999999,-0.4873397172404482,0.15,0.35,exploratory pointwise percentile bootstrap; no multiple-comparison correction
0.75,medium,rolling,constraint_aware_greedy,mean_response,20,-4.929829898362507,-4.597402597402597,-5.895385656272597,-3.974527473265674,-2.1804737615632312,1.0,0.0,exploratory pointwise percentile bootstrap; no multiple-comparison correction
0.75,medium,rolling,constraint_aware_greedy,unmet,20,-7.3,-7.0,-8.5,-6.05,-2.5624622359686087,1.0,0.0,exploratory pointwise percentile bootstrap; no multiple-comparison correction
0.75,medium,rolling_forecast,constraint_aware_greedy,urgent_satisfaction,20,-0.04499999999999999,0.0,-0.08499999999999999,-0.004999999999999999,-0.4764358828242032,0.15,0.4,exploratory pointwise percentile bootstrap; no multiple-comparison correction
0.75,medium,rolling_forecast,constraint_aware_greedy,mean_response,20,-2.4766098918244226,-2.176086956521738,-3.9039348816705797,-1.0317575395380747,-0.727345820156553,0.7,0.0,exploratory pointwise percentile bootstrap; no multiple-comparison correction
0.75,medium,rolling_forecast,constraint_aware_greedy,unmet,20,-3.45,-3.0,-5.4,-1.4,-0.7418248939319085,0.7,0.1,exploratory pointwise percentile bootstrap; no multiple-comparison correction
0.75,high,rolling,constraint_aware_greedy,urgent_satisfaction,20,0.03,0.0,-0.009999999999999998,0.07,0.31429363309631014,0.4,0.45,exploratory pointwise percentile bootstrap; no multiple-comparison correction
0.75,high,rolling,constraint_aware_greedy,mean_response,20,-0.8330599714832202,-0.9676923076923085,-1.8285203801945182,0.16908824093654404,-0.35182867208679347,0.55,0.1,exploratory pointwise percentile bootstrap; no multiple-comparison correction
0.75,high,rolling,constraint_aware_greedy,unmet,20,-1.9,-1.5,-4.35,0.6,-0.3321276576235523,0.6,0.15,exploratory pointwise percentile bootstrap; no multiple-comparison correction
0.75,high,rolling_forecast,constraint_aware_greedy,urgent_satisfaction,20,0.029999999999999992,0.0,0.0033333333333333327,0.059999999999999984,0.45059327646066444,0.45,0.4,exploratory pointwise percentile bootstrap; no multiple-comparison correction
0.75,high,rolling_forecast,constraint_aware_greedy,mean_response,20,-0.34757208830595976,-0.3415384615384607,-1.3565720285688034,0.7024436791031545,-0.14333630070214384,0.55,0.0,exploratory pointwise percentile bootstrap; no multiple-comparison correction
0.75,high,rolling_forecast,constraint_aware_greedy,unmet,20,-2.05,-0.5,-4.3512499999999985,0.15,-0.3930125254358112,0.5,0.2,exploratory pointwise percentile bootstrap; no multiple-comparison correction
0.5,low,rolling,constraint_aware_greedy,urgent_satisfaction,20,0.0,0.0,0.0,0.0,,0.0,1.0,exploratory pointwise percentile bootstrap; no multiple-comparison correction
0.5,low,rolling,constraint_aware_greedy,mean_response,20,-3.9927777777777775,-3.9499999999999993,-4.580555555555556,-3.425,-2.9641312571799783,1.0,0.0,exploratory pointwise percentile bootstrap; no multiple-comparison correction
0.5,low,rolling,constraint_aware_greedy,unmet,20,-1.2,-2.0,-1.6,-0.8,-1.1937336386313322,0.6,0.4,exploratory pointwise percentile bootstrap; no multiple-comparison correction
0.5,low,rolling_forecast,constraint_aware_greedy,urgent_satisfaction,20,0.0,0.0,0.0,0.0,,0.0,1.0,exploratory pointwise percentile bootstrap; no multiple-comparison correction
0.5,low,rolling_forecast,constraint_aware_greedy,mean_response,20,-4.017222222222221,-3.9499999999999993,-4.585583333333333,-3.444444444444444,-3.0019484861261088,1.0,0.0,exploratory pointwise percentile bootstrap; no multiple-comparison correction
0.5,low,rolling_forecast,constraint_aware_greedy,unmet,20,-1.1,-2.0,-1.5,-0.7,-1.077548658349641,0.55,0.45,exploratory pointwise percentile bootstrap; no multiple-comparison correction
0.5,medium,rolling,constraint_aware_greedy,urgent_satisfaction,20,-0.005000000000000027,0.0,-0.04000000000000005,0.029999999999999978,-0.06056363321295797,0.25,0.5,exploratory pointwise percentile bootstrap; no multiple-comparison correction
0.5,medium,rolling,constraint_aware_greedy,mean_response,20,-1.347048768225239,-0.9592760180995477,-2.8974084798983695,0.29512177691589436,-0.36581254323211104,0.7,0.05,exploratory pointwise percentile bootstrap; no multiple-comparison correction
0.5,medium,rolling,constraint_aware_greedy,unmet,20,-4.55,-6.0,-6.1,-2.75,-1.162730370472142,0.85,0.05,exploratory pointwise percentile bootstrap; no multiple-comparison correction
0.5,medium,rolling_forecast,constraint_aware_greedy,urgent_satisfaction,20,0.004999999999999982,0.0,-0.030000000000000027,0.03499999999999999,0.06586273258360119,0.25,0.6,exploratory pointwise percentile bootstrap; no multiple-comparison correction
0.5,medium,rolling_forecast,constraint_aware_greedy,mean_response,20,-0.4691273881347412,-0.9592760180995477,-2.1406317704966606,1.4020018954697253,-0.11236070446620093,0.65,0.05,exploratory pointwise percentile bootstrap; no multiple-comparison correction
0.5,medium,rolling_forecast,constraint_aware_greedy,unmet,20,-4.95,-6.0,-6.3,-3.5,-1.4926597141526021,0.8,0.15,exploratory pointwise percentile bootstrap; no multiple-comparison correction
0.5,high,rolling,constraint_aware_greedy,urgent_satisfaction,20,0.023333333333333327,0.0,0.0,0.04999999999999999,0.39995704236684176,0.35,0.55,exploratory pointwise percentile bootstrap; no multiple-comparison correction
0.5,high,rolling,constraint_aware_greedy,mean_response,20,-0.2479324899816385,-0.057275541795664964,-1.7414593217669843,1.124415933997203,-0.0739399555511699,0.5,0.1,exploratory pointwise percentile bootstrap; no multiple-comparison correction
0.5,high,rolling,constraint_aware_greedy,unmet,20,-2.15,0.0,-3.95,-0.55,-0.5405761666174553,0.4,0.4,exploratory pointwise percentile bootstrap; no multiple-comparison correction
0.5,high,rolling_forecast,constraint_aware_greedy,urgent_satisfaction,20,-0.016666666666666666,0.0,-0.03666666666666667,0.0033333333333333327,-0.3489912202260564,0.05,0.75,exploratory pointwise percentile bootstrap; no multiple-comparison correction
0.5,high,rolling_forecast,constraint_aware_greedy,mean_response,20,-0.35392973856209176,0.0,-1.7616220383986927,0.9334545547385619,-0.1117291651415785,0.4,0.2,exploratory pointwise percentile bootstrap; no multiple-comparison correction
0.5,high,rolling_forecast,constraint_aware_greedy,unmet,20,0.65,0.0,-0.6,1.85,0.23091374095580638,0.15,0.55,exploratory pointwise percentile bootstrap; no multiple-comparison correction
0.35,low,rolling,constraint_aware_greedy,urgent_satisfaction,20,-0.009999999999999998,0.0,-0.029999999999999992,0.0,-0.22360679774997896,0.0,0.95,exploratory pointwise percentile bootstrap; no multiple-comparison correction
0.35,low,rolling,constraint_aware_greedy,mean_response,20,-9.25952380952381,-8.642857142857142,-10.17797619047619,-8.392834821428574,-4.46333984958542,1.0,0.0,exploratory pointwise percentile bootstrap; no multiple-comparison correction
0.35,low,rolling,constraint_aware_greedy,unmet,20,0.15,0.0,-0.2,0.55,0.16071968053094735,0.05,0.85,exploratory pointwise percentile bootstrap; no multiple-comparison correction
0.35,low,rolling_forecast,constraint_aware_greedy,urgent_satisfaction,20,-0.009999999999999998,0.0,-0.029999999999999992,0.0,-0.22360679774997896,0.0,0.95,exploratory pointwise percentile bootstrap; no multiple-comparison correction
